Month,Event count
Jul-24,29520
Jul-24,27187
Jul-24,31468
Jul-24,29829
Jul-24,30329
Aug-24,28208
Aug-24,28604
Aug-24,28929
Aug-24,28880
Aug-24,35000
Aug-24,36720
Aug-24,37257
Aug-24,36643
Aug-24,35896
Aug-24,32709
Aug-24,30429
Aug-24,35651
Aug-24,34918
Aug-24,35600
Aug-24,33553
Aug-24,32514
Aug-24,31324
Aug-24,30656
Aug-24,35298
Aug-24,34130
Aug-24,33772
Aug-24,33502
Aug-24,33607
Aug-24,34328
Aug-24,31287
Aug-24,36798
Aug-24,33706
Aug-24,33536
Aug-24,31642
Aug-24,32674
Aug-24,31434
Sep-24,30250
Sep-24,34760
Sep-24,33424
Sep-24,32979
Sep-24,32332
Sep-24,31398
Sep-24,30038
Sep-24,26379
Sep-24,34232
Sep-24,33384
Sep-24,33349
Sep-24,32439
Sep-24,32418
Sep-24,30733
Sep-24,28415
Sep-24,33905
Sep-24,33914
Sep-24,33311
Sep-24,32353
Sep-24,31407
Sep-24,30461
Sep-24,27807
Sep-24,31965
Sep-24,30955
Sep-24,30992
Sep-24,30286
Sep-24,30232
Sep-24,31708
Sep-24,30977
Sep-24,34583
Oct-24,25751
Oct-24,26510
Oct-24,29702
Oct-24,31125
Oct-24,27601
Oct-24,25241
Oct-24,31071
Oct-24,32344
Oct-24,32052
Oct-24,33585
Oct-24,30669
Oct-24,55451
Oct-24,28501
Oct-24,39345
Oct-24,36839
Oct-24,33952
Oct-24,31051
Oct-24,32920
Oct-24,33123
Oct-24,32824
Oct-24,38468
Oct-24,38008
Oct-24,37914
Oct-24,33973
Oct-24,34283
Oct-24,32827
Oct-24,33930
Oct-24,39370
Oct-24,35849
Oct-24,34782
Oct-24,33117
Nov-24,30990
Nov-24,31056
Nov-24,31364
Nov-24,36796
Nov-24,34991
Nov-24,31278
Nov-24,33194
Nov-24,32185
Nov-24,30174
Nov-24,26705
Nov-24,36183
Nov-24,34066
Nov-24,30968
Nov-24,29213
Nov-24,28934
Nov-24,27481
Nov-24,25985
Nov-24,32152
Nov-24,29888
Nov-24,30684
Nov-24,29630
Nov-24,31369
Nov-24,33555
Nov-24,29807
Nov-24,32020
Nov-24,32106
Nov-24,33370
Nov-24,30206
Nov-24,28233
Nov-24,28610
Dec-24,26045
Dec-24,31496
Dec-24,31738
Dec-24,31194
Dec-24,30114
Dec-24,29268
Dec-24,28880
Dec-24,27084
Dec-24,33308
Dec-24,34218
Dec-24,31140
Dec-24,32450
Dec-24,29078
Dec-24,30241
Dec-24,27780
Dec-24,33246
Dec-24,32801
Dec-24,32131
Dec-24,31300
Dec-24,29961
Dec-24,31801
Dec-24,28843
Dec-24,32461
Dec-24,27612
Dec-24,22653
Dec-24,25973
Dec-24,31312
Dec-24,31533
Dec-24,29036
Dec-24,33690
Dec-24,29234
Jan-25,25862
Jan-25,37822
Jan-25,36122
Jan-25,33556
Jan-25,31115
Jan-25,38024
Jan-25,36495
Jan-25,35523
Jan-25,35080
Jan-25,52920
Jan-25,31623
Jan-25,30306
Jan-25,37081
Jan-25,35737
Jan-25,34727
Jan-25,34323
Jan-25,39695
Jan-25,39249
Jan-25,33815
Jan-25,38057
Jan-25,37426
Jan-25,41059
Jan-25,38118
Jan-25,36828
Jan-25,34515
Jan-25,30501
Jan-25,32119
Jan-25,36703
Jan-25,34411
Jan-25,33920
Jan-25,32306
Feb-25,33087
Feb-25,31300
Feb-25,36256
Feb-25,36532
Feb-25,33864
Feb-25,35714
Feb-25,36788
Feb-25,36904
Feb-25,34089
Feb-25,37819
Feb-25,37337
Feb-25,37900
Feb-25,41299
Feb-25,40558
Feb-25,41487
Feb-25,39412
Feb-25,44734
Feb-25,40524
Feb-25,36738
Feb-25,35603
Feb-25,35423
Feb-25,37571
Feb-25,36215
Feb-25,42723
Feb-25,44144
Feb-25,40102
Feb-25,36217
Feb-25,36881
Mar-25,34826
Mar-25,34100
Mar-25,38980
Mar-25,37613
Mar-25,34882
